model,dataset,topic_id,top_terms,topic_size
C-Top2Vec,Wiki_clean_text_v2,0,"עיצור, נהוג, נהגה, נהוגה, בהגייה, נוהג, נהגו, ההגייה, נהגית, יג, בפולנית, ליג",124640
C-Top2Vec,Wiki_clean_text_v2,1,"נבחרתו, בעונתו, באליפות, האליפות, ליגת, שיחק, במוקדמות, המצטיין, לטורניר, שחקני, שיחקו, הקונפדרציה",67346
C-Top2Vec,Wiki_clean_text_v2,2,"כינוי, שפירושה, בשמות, כתובות, הונגרית, קברות, סמלים, אתניות, שמות, ילידים, אותיות, בתעתיק",59219
C-Top2Vec,Wiki_clean_text_v2,3,"ניצחונו, האירים, מרד, בוכנוואלד, נסוגו, אנטיגונוס, המונגולים, להביס, וולדמורט, נלחמו, נור, משטרו",58957
C-Top2Vec,Wiki_clean_text_v2,4,"עיטור, מדליית, הפרס, צלב, אביר, הצלב, תוארו, עיטורים, לודוויג, בוכנוואלד, הזכייה, הארד",50139
C-Top2Vec,Wiki_clean_text_v2,5,"תומסון, גבריאל, לודוויג, זיגמונד, גוסטב, פרנק, מדיסון, פראנקל, פרנקלין, באך, ליבוביץ, גרשווין",47058
C-Top2Vec,Wiki_clean_text_v2,6,"פרופ, הרב, אורי, משפחת, מאיר, שולמית, ליבוביץ, רבינוביץ, שמואל, גלעד, גבריאל, דרור",46640
C-Top2Vec,Wiki_clean_text_v2,7,"קיימברידג, יאנג, בנג, וייטנאם, קוריאה, האן, חאן, נג, קונגו, מו, מאו, פרנסיסקו",43843
C-Top2Vec,Wiki_clean_text_v2,8,"הדרגה, הנציב, הגנרל, דרגות, גנרל, הרמטכ, סגן, דרגה, דיפלומט, הדרגות, אביר, תוארו",43076
C-Top2Vec,Wiki_clean_text_v2,9,"חואן, אבוחצירא, דייגו, גול, ויימאר, פרנסואה, טורינו, קרלוס, אוסטרי, גולה, קאיבה, קיימברידג",38845
C-Top2Vec,Wiki_clean_text_v2,10,"מאורע, בתאריך, תאריך, לידתו, גאוגרפיים, העלמין, קברות, התאריך, נקבעו, לוח, אוכלוסין, קביעת",38482
C-Top2Vec,Wiki_clean_text_v2,11,"לודוויג, אנטיגונוס, הרנסאנס, וילהלם, באך, מאורע, אריסטובולוס, מוצרט, העלמין, לידתו, בספריו, קברות",37159
C-Top2Vec,Wiki_clean_text_v2,12,"רוריקלא, פאשא, המיראז, בהאא, מיראז, דיטריך, קיימברידג, טאו, ויטראז, מאו, יך, ליג",35318
C-Top2Vec,Wiki_clean_text_v2,13,"רו, מו, הקיסר, דו, מאו, רה, ומ, פו, גו, הכריז, משטרו, ירבעם",35264
C-Top2Vec,Wiki_clean_text_v2,14,"ויקרא, בסיוון, בחשוון, בשבת, בשנה, פרשה, פרשת, שבועות, הפרשה, פסוק, השבועות, בפרשת",34667
C-Top2Vec,Wiki_clean_text_v2,15,"במבה, השקת, סדרת, מוצר, מיוצר, השיקה, מפעל, לייצור, הפצת, מייצרת, בייצור, המוצר",34127
C-Top2Vec,Wiki_clean_text_v2,16,"התעופה, תעופה, מצודת, נמל, בנמל, עיריית, תחנת, נמלי, הרכבת, תוואי, טרמינל, מסילת",34068
C-Top2Vec,Wiki_clean_text_v2,17,"שניאורסון, אורי, יעקב, ראובן, לודוויג, גלעד, אלדד, רוני, משפחת, נחמיה, מני, מאיר",33790
C-Top2Vec,Wiki_clean_text_v2,18,"הספרייה, הספריה, מיצירותיו, ביומנו, האספה, ביוגרפיה, במוזיאון, בתרגומו, הסוציולוגיה, המוזיאון, מורשתו, בתערוכה",33301
