model,dataset,topic_id,top_terms,topic_size
Top2Vec,Wiki:clean_text,0,"שבאנגליה., במיתולוגיה, מונגוליה, בירושלים., בירושלים,, היוונית., באנגליה., מקראית,, בגרמניה., המלחמה., העיר., יוגוסלביה",20500
Top2Vec,Wiki:clean_text,1,"לבן,, לבן., שחור,, אדום,, הצבע, אדום., הגרגוריאני., צבעים, בצבע, מינים., לבן, אביב.",1380
Top2Vec,Wiki:clean_text,2,"שבאנגליה., מונגוליה, הגרגוריאני., היוונית., רפובליקה, יוגוסלביה, באנגליה., לאומי,, בירושלים,, הברית,, אדום,, מדינות,",930
Top2Vec,Wiki:clean_text,3,"החברה., החברה,, שבאנגליה., חברת, החברה, הלהקה., הלהקה,, בגרמניה,, בגרמניה., הקבוצה,, באירופה,, העיר,",567
Top2Vec,Wiki:clean_text,4,"היוונית., האלפבית, מקראית,, כשפה, באלפבית, בלועזית, העברית., העברי., במיתולוגיה, היוונית,, העברית,, בעברית,",448
Top2Vec,Wiki:clean_text,5,"עיצור, עיצורים, העיצורים, בלועזית, כשפה, מקראית,, האלפבית, לטינית, בעברית,, הגרגוריאני., באלפבית, מולקולה",418
Top2Vec,Wiki:clean_text,6,"תסריטאי,, קולנוע,, שבאנגליה., הסדרה,, מחזאי,, העיר,, ובמאי, הסרט, המלחמה,, הלהקה., הלהקה,, הספר,",289
Top2Vec,Wiki:clean_text,7,"מוענק, הפרס, תסריטאי,, שבאנגליה., מחזאי,, במיתולוגיה, פרס, תחרות, ישראלי,, משורר,, מלחין,, עיטור",185
Top2Vec,Wiki:clean_text,8,"הספר., הסופר, הספר,, הספרות, שבאנגליה., בדיונית, מחזאי,, הספרים, בספרו, הספר, פרדריק, ספר",123
Top2Vec,Wiki:clean_text,9,"מונגוליה, במונגולית, שבאנגליה., בירתה, קונגו, רפובליקה, ברפובליקה, במחוז, העיר., יוגוסלביה, אפריקני, העיר,",87
